Number,Period,Drift_X,Drift_Y
1,34.282163,0,0
2,34.770042,0,0
3,34.270603,0,0
4,34.783085,0,0
5,34.39878,0,0
6,34.616525,0,0
7,34.120756,0,0
8,34.44466,0,0
9,34.013238,0,0
10,34.724443,0,0
11,34.261581,0,0
12,34.186302,0,0
13,33.951145,0,0
14,34.287107,0,0
15,34.663554,0,0
16,34.05132,0,0
17,34.510135,0,0
18,34.129199,0,0
19,34.751588,0,0
20,34.543769,0,0
21,34.11974,0,0
22,34.311488,0,0
23,34.503927,0,0
24,33.995379,0,0
25,33.769931,0,0
26,34.672674,0,0
27,34.393801,0,0
28,34.433903,0,0
29,34.08294,0,0
30,34.124901,0,0
